site number,site location,Cluster,site acronym,date,depth (m),T (C),DO (mg/l),pH,Secchi Disk (m),samples collected,comments
R9-5,Saguaro Lake near inlet,salt,saguaro-5m,1999,5,15.5,5.87,7.96,NA,NA,NA
R9A,Saguaro Lake near inlet,salt,saguaro-0m,1999,0,15.5,6.53,7.9,2.25,NA,NA
R1,CAP canal above Waddell Canal,cap,cap-siphon,1999,0,12.5,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R2-10,Lake Pleasant integrated sample,cap,pleasant-10m,1999,10,14,7.8,8.26,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R2-15,Lake Pleasant integrated sample,cap,pleasant-15m,1999,15,14,7.51,8.25,NA,NA,NA
R2-20,Lake Pleasant integrated sample,cap,pleasant-20m,1999,20,13.9,7.15,8.25,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R2-25,Lake Pleasant integrated sample,cap,pleasant-25m,1999,25,13.9,6.94,8.23,NA,NA,NA
R2-30,Lake Pleasant integrated sample,cap,pleasant-30m,1999,30,13.9,6.51,8.22,NA,NA,NA
R2-35,Lake Pleasant integrated sample,cap,pleasant-35m,1999,35,13.9,6.41,NA,NA,NA,hypolimnion muddy smell
R2-40,Lake Pleasant integrated sample,cap,pleasant-40m,1999,40,13.9,6.46,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",hypolimnion muddy smell
R2-45,Lake Pleasant integrated sample,cap,pleasant-45m,1999,45,13.9,5.18,NA,NA,NA,hypolimnion muddy smell
R2-5,Lake Pleasant integrated sample,cap,pleasant-5m,1999,2,14,8.58,8.27,NA,NA,NA
R2A,Lake Pleasant integrated sample,cap,pleasant-0m,1999,0,14,9.15,8.18,4.4,NA,NA
R3,Waddell Canal,cap,waddell canal,1999,0,12.8,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,1999,0,8.5,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R6-10,Bartlett Reservoir near outlet,verde,bartlett-10m,1999,10,12.8,7.95,8.42,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R6-15,Bartlett Reservoir near outlet,verde,bartlett-15m,1999,15,12.8,7.12,8.42,NA,NA,NA
R6-20,Bartlett Reservoir near outlet,verde,bartlett-20m,1999,20,12.8,6.78,8.39,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R6-25,Bartlett Reservoir near outlet,verde,bartlett-25m,1999,25,12.7,6.36,8.36,NA,NA,NA
R6-30,Bartlett Reservoir near outlet,verde,bartlett-30m,1999,30,12.6,1.15,7.57,NA,NA,NA
R6-35,Bartlett Reservoir near outlet,verde,bartlett-35m,1999,35,12.5,1.04,NA,NA,NA,NA
R6-40,Bartlett Reservoir near outlet,verde,bartlett-40m,1999,40,12.5,0.96,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R6-45,Bartlett Reservoir near outlet,verde,bartlett-45m,1999,45,12.5,0.89,NA,NA,NA,NA
R6-5,Bartlett Reservoir near outlet,verde,bartlett-5m,1999,5,12.8,8.3,8.42,NA,NA,NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-0m,1999,0,12.7,8.57,8.31,NA,NA,NA
R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,1999,0,13,NA,NA,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,1999,0,4.2,10.43,8.67,NA,"NUT, DOCM, MIB/GEO(2X), PHYT",NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,1999,0,NA,NA,7.76,NA,NA,something dumped in canal
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,1999,0,9.6,11.59,8.67,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,1999,0,NA,NA,7.8,NA,"DOCM, MIB/GEO(2X)",NA
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,1999,NA,NA,NA,NA,NA,NA,south canal shut down
R19,Val Vista WTP treated water,srp,val vista-treated,1999,NA,NA,NA,NA,NA,NA,south canal shut down
R4,Cap Canal at 7th St.,cap,cap @ 7th st,1999,0,10.1,10.21,8.3,NA,NA,NA
R20,Verde River at Tangle (USGS),verde,verde abv horseshoe,1999,NA,NA,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,2000,0,9.3,11.86,8.09,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,2000,0,9.5,10.62,8.29,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,2000,0,9.3,10.23,8.35,NA,"NUT, DOCM, MIB/GEO, PHYT",sample taken on south canal
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,2000,NA,NA,NA,NA,NA,NA,"az canal shut down, no sample"
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,2000,NA,NA,NA,NA,NA,NA,"az canal shut down, no sample"
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,2000,NA,NA,NA,NA,NA,NA,"az canal shut down, no sample"
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,2000,NA,NA,NA,NA,NA,NA,"az canal shut down, no sample"
R17,Deer Valley WTP treated water,srp,deer valley-treated,2000,NA,NA,NA,NA,NA,NA,"az canal shut down, no sample"
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,2000,0,10.2,10.94,8.3,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",used scrapper for peri (filt. Chlor)
R19,Val Vista WTP treated water,srp,val vista-treated,2000,0,12.4,11.5,NA,NA,NA,NA
R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,2000,0,12.5,10.72,8.02,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R9-10,Saguaro Lake near inlet,salt,saguaro-10m,2000,10,12.4,9.48,7.99,NA,NA,NA
R9-15,Saguaro Lake near inlet,salt,saguaro-15m,2000,15,12.4,9.27,8.3,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R9-20,Saguaro Lake near inlet,salt,saguaro-20m,2000,20,12.4,8.85,8.8,NA,NA,NA
R9-25,Saguaro Lake near inlet,salt,saguaro-25m,2000,25,12.4,8.43,7.96,NA,NA,NA
R9-30,Saguaro Lake near inlet,salt,saguaro-30m,2000,30,12.3,8.27,7.95,NA,NA,NA
R9-35,Saguaro Lake near inlet,salt,saguaro-35m,2000,35,12.2,7.56,NA,NA,NA,NA
R9-40,Saguaro Lake near inlet,salt,saguaro-40m,2000,40,12.2,7.4,NA,NA,NA,NA
R9-45,Saguaro Lake near inlet,salt,saguaro-45m,2000,45,12.2,7.18,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R9-5,Saguaro Lake near inlet,salt,saguaro-5m,2000,5,12.5,9.93,7.91,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R9A,Saguaro Lake near inlet,salt,saguaro-0m,2000,0,12.8,10.32,7.69,NA,NA,NA
R1,CAP canal above Waddell Canal,cap,cap-siphon,2000,0,11,NA,NA,NA,"NUT, DOCM, MIB/GEO, PERI",NA
R2-10,Lake Pleasant integrated sample,cap,pleasant-10m,2000,10,11.6,9.06,8.33,NA,NA,NA
R2-15,Lake Pleasant integrated sample,cap,pleasant-15m,2000,15,11.6,8.89,8.33,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R2-20,Lake Pleasant integrated sample,cap,pleasant-20m,2000,20,11.6,9.03,8.31,NA,NA,NA
R2-25,Lake Pleasant integrated sample,cap,pleasant-25m,2000,25,11.6,9.25,8.3,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R2-30,Lake Pleasant integrated sample,cap,pleasant-30m,2000,30,11.6,8.83,8.26,NA,NA,NA
R2-35,Lake Pleasant integrated sample,cap,pleasant-35m,2000,35,10.9,8.78,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",hypo
R2-40,Lake Pleasant integrated sample,cap,pleasant-40m,2000,40,10.7,8.83,NA,NA,NA,hypo
R2-45,Lake Pleasant integrated sample,cap,pleasant-45m,2000,45,10.7,8.45,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",hypo
R2-5,Lake Pleasant integrated sample,cap,pleasant-5m,2000,5,11.7,9.33,8.31,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R2A,Lake Pleasant integrated sample,cap,pleasant-0m,2000,0,12.3,9.03,8.22,5.8,NA,NA
R3,Waddell Canal,cap,waddell canal,2000,0,11,NA,NA,NA,"NUT, DOCM, MIB/GEO, PERI",NA
R4,Cap Canal at 7th St.,cap,cap @ 7th st,2000,0,12,NA,7.8,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,2000,0,8,NA,NA,NA,"NUT, DOCM, PERI",NA
R6-10,Bartlett Reservoir near outlet,verde,bartlett-10m,2000,10,9.9,8.51,8.42,NA,NA,epit
R6-15,Bartlett Reservoir near outlet,verde,bartlett-15m,2000,15,9.9,8.17,8.38,NA,"NUT, DOCM, MIB/GEO, PHYT",epit
R6-20,Bartlett Reservoir near outlet,verde,bartlett-20m,2000,20,9.6,8.01,8.33,NA,NA,NA
R6-25,Bartlett Reservoir near outlet,verde,bartlett-25m,2000,25,9.2,7.72,8.28,NA,"NUT, DOCM, MIB/GEO, PHYT",hypo
R6-30,Bartlett Reservoir near outlet,verde,bartlett-30m,2000,30,9,7.55,8.28,NA,NA,hypo
R6-35,Bartlett Reservoir near outlet,verde,bartlett-35m,2000,35,8.8,7.36,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",hypo
R6-40,Bartlett Reservoir near outlet,verde,bartlett-40m,2000,40,8.8,4.4,NA,NA,NA,NA
R6-45,Bartlett Reservoir near outlet,verde,bartlett-45m,2000,45,8.8,4.01,NA,NA,NA,NA
R6-5,Bartlett Reservoir near outlet,verde,bartlett-5m,2000,5,9.9,9.14,8.42,NA,"NUT, DOCM, MIB/GEO, PHYT",epit
R6A,Bartlett Reservoir near outlet,verde,bartlett-0m,2000,0,9.9,10.41,8.3,1.2,NA,NA
R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,2000,0,11,NA,NA,NA,"NUT, DOCM, MIB/GEO, PERI",NA
R20,Verde River at Tangle (USGS),verde,verde abv horseshoe,2000,NA,NA,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,2000,0,14.5,8.05,7.98,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",peri off of rocks (didn't use scrape)
R11,CAP Canal at Cross-connect,cap,cap @ x con,2000,0,13.7,10.5,8.24,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",used scrapper for periphyton
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,2000,0,13.1,9,NA,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",used scrapper for periphyton
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,2000,0,13.7,9.23,8.39,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",used scrapper for periphyton
R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,2000,0,14.6,9.37,7.79,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R9-10,Saguaro Lake near inlet,salt,saguaro-10m,2000,10,13.1,7.35,8.21,NA,NA,NA
R9-15,Saguaro Lake near inlet,salt,saguaro-15m,2000,15,12.9,7.1,8.05,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R9-20,Saguaro Lake near inlet,salt,saguaro-20m,2000,20,12.8,7.04,7.97,NA,NA,NA
R9-25,Saguaro Lake near inlet,salt,saguaro-25m,2000,25,12.8,5.88,7.91,NA,NA,NA
R9-30,Saguaro Lake near inlet,salt,saguaro-30m,2000,30,12.8,5.58,7.81,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R9-35,Saguaro Lake near inlet,salt,saguaro-35m,2000,35,12.5,4,NA,NA,NA,NA
R9-40,Saguaro Lake near inlet,salt,saguaro-40m,2000,40,12.5,3.73,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R9-45,Saguaro Lake near inlet,salt,saguaro-45m,2000,45,12.5,3.71,NA,NA,NA,NA
R9-5,Saguaro Lake near inlet,salt,saguaro-5m,2000,5,13.6,8.9,8.3,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R9A,Saguaro Lake near inlet,salt,saguaro-0m,2000,0,14.5,10.16,8.15,5.9,NA,NA
R1,CAP canal above Waddell Canal,cap,cap-siphon,2000,0,12.2,10.03,NA,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",used scrapper for periphyton samples
R2-10,Lake Pleasant integrated sample,cap,pleasant-10m,2000,10,12.1,8.53,8.1,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R2-15,Lake Pleasant integrated sample,cap,pleasant-15m,2000,15,12.1,8.49,8.07,NA,NA,NA
R2-20,Lake Pleasant integrated sample,cap,pleasant-20m,2000,20,12.1,8.05,8.03,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R2-25,Lake Pleasant integrated sample,cap,pleasant-25m,2000,25,12,7.86,8,NA,NA,NA
R2-30,Lake Pleasant integrated sample,cap,pleasant-30m,2000,30,11.8,7.44,8,NA,NA,NA
R2-35,Lake Pleasant integrated sample,cap,pleasant-35m,2000,35,11.6,6.71,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R2-40,Lake Pleasant integrated sample,cap,pleasant-40m,2000,40,11.6,6.36,NA,NA,NA,NA
R2-45,Lake Pleasant integrated sample,cap,pleasant-45m,2000,45,11.5,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R2-5,Lake Pleasant integrated sample,cap,pleasant-5m,2000,5,12.1,10.03,8.11,NA,NA,NA
R2A,Lake Pleasant integrated sample,cap,pleasant-0m,2000,0,12.1,11.5,8,2.55,NA,NA
R3,Waddell Canal,cap,waddell canal,2000,0,15.1,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",used scrapper for periphyton sample
R4,Cap Canal at 7th St.,cap,cap @ 7th st,2000,0,14.3,11.21,8.15,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",used scrapper for periphyton sample
R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,2000,0,14,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R6-10,Bartlett Reservoir near outlet,verde,bartlett-10m,2000,10,11.2,8.61,8.52,NA,NA,NA
R6-15,Bartlett Reservoir near outlet,verde,bartlett-15m,2000,15,10.9,8.04,8.41,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R6-20,Bartlett Reservoir near outlet,verde,bartlett-20m,2000,20,10.6,7.51,8.35,NA,NA,NA
R6-25,Bartlett Reservoir near outlet,verde,bartlett-25m,2000,25,10.3,6.71,8.22,NA,NA,NA
R6-30,Bartlett Reservoir near outlet,verde,bartlett-30m,2000,30,10,4.93,7.68,NA,NA,turbid
R6-35,Bartlett Reservoir near outlet,verde,bartlett-35m,2000,35,10.1,4.88,NA,NA,NA,turbid
R6-40,Bartlett Reservoir near outlet,verde,bartlett-40m,2000,40,10.1,4.64,NA,NA,NA,turbid
R6-45,Bartlett Reservoir near outlet,verde,bartlett-45m,2000,45,10.1,4.52,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R6-5,Bartlett Reservoir near outlet,verde,bartlett-5m,2000,5,12.3,10.36,8.56,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-0m,2000,0,12.4,11.27,8.5,1.75,NA,NA
R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,2000,0,12.5,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,2000,0,14.4,8.93,8.07,NA,NA,water level down <1' from hi mark
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,2000,NA,NA,NA,NA,NA,NA,wtp shut down (larry baker)
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,2000,0,15.2,10.15,8.18,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,2000,NA,NA,NA,NA,NA,NA,wtp shut down (larry baker)
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,2000,0,13.9,8.75,8.045,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R19,Val Vista WTP treated water,srp,val vista-treated,2000,NA,NA,NA,NA,NA,NA,"weirs clean, few clumps of filamentous algae"
R20,Verde River at Tangle (USGS),verde,verde abv horseshoe,2000,NA,NA,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,2000,0,19.1,9.52,8.57,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,2000,0,NA,NA,NA,NA,"DOCM, MIB/GEO",NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,2000,0,20.3,9.38,8.69,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,2000,0,NA,NA,NA,NA,"DOCM, MIB/GEO",NA
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,2000,0,17.1,9.44,8.45,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R19,Val Vista WTP treated water,srp,val vista-treated,2000,0,NA,NA,NA,NA,"DOCM, MIB/GEO",NA
R1,CAP canal above Waddell Canal,cap,cap-siphon,2000,0,17.5,NA,8.62,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R2-10,Lake Pleasant integrated sample,cap,pleasant-10m,2000,10,13.7,10.09,8.11,NA,NA,NA
R2-15,Lake Pleasant integrated sample,cap,pleasant-15m,2000,15,13.5,9.17,8.01,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R2-20,Lake Pleasant integrated sample,cap,pleasant-20m,2000,20,13.3,8.76,7.89,NA,NA,NA
R2-25,Lake Pleasant integrated sample,cap,pleasant-25m,2000,25,12.5,8.52,7.77,NA,NA,NA
R2-30,Lake Pleasant integrated sample,cap,pleasant-30m,2000,30,12.3,8.12,7.66,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R2-35,Lake Pleasant integrated sample,cap,pleasant-35m,2000,35,12.2,7.87,NA,NA,NA,NA
R2-40,Lake Pleasant integrated sample,cap,pleasant-40m,2000,40,12.2,7.67,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R2-45,Lake Pleasant integrated sample,cap,pleasant-45m,2000,45,12.1,7.38,NA,NA,NA,NA
R2-5,Lake Pleasant integrated sample,cap,pleasant-5m,2000,5,13.8,10.22,8.23,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R2A,Lake Pleasant integrated sample,cap,pleasant-0m,2000,0,14.8,10.58,8.23,8.625,NA,NA
R3,Waddell Canal,cap,waddell canal,2000,0,17.5,NA,8.56,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R4,Cap Canal at 7th St.,cap,cap @ 7th st,2000,0,17.3,10.98,8.66,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,2000,0,16.4,NA,8.67,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R6-10,Bartlett Reservoir near outlet,verde,bartlett-10m,2000,10,13.5,9.38,8.42,NA,NA,NA
R6-15,Bartlett Reservoir near outlet,verde,bartlett-15m,2000,15,12.7,7.89,8.23,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R6-20,Bartlett Reservoir near outlet,verde,bartlett-20m,2000,20,12.5,7,8.03,NA,NA,NA
R6-25,Bartlett Reservoir near outlet,verde,bartlett-25m,2000,25,11.9,5.04,7.74,NA,NA,NA
R6-30,Bartlett Reservoir near outlet,verde,bartlett-30m,2000,30,11.8,4.17,7.5,NA,NA,NA
R6-35,Bartlett Reservoir near outlet,verde,bartlett-35m,2000,35,11.1,0.42,NA,NA,NA,NA
R6-40,Bartlett Reservoir near outlet,verde,bartlett-40m,2000,40,11.1,0.37,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R6-45,Bartlett Reservoir near outlet,verde,bartlett-45m,2000,45,11.1,0.35,NA,NA,NA,NA
R6-5,Bartlett Reservoir near outlet,verde,bartlett-5m,2000,5,14.8,10.03,8.62,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-0m,2000,0,14.8,11.48,8.71,2,NA,NA
R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,2000,0,12.6,NA,8.66,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,2000,0,18,8.06,8.07,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,2000,0,16.8,10.13,8.49,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,2000,0,17.9,7.86,8.39,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,2000,0,17.5,9.32,8.46,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,2000,0,13.3,7.8,8.43,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R9-10,Saguaro Lake near inlet,salt,saguaro-10m,2000,10,13.9,7.3,8.14,NA,NA,NA
R9-15,Saguaro Lake near inlet,salt,saguaro-15m,2000,15,13.4,5.88,7.84,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R9-20,Saguaro Lake near inlet,salt,saguaro-20m,2000,20,13.1,5.2,7.62,NA,NA,NA
R9-25,Saguaro Lake near inlet,salt,saguaro-25m,2000,25,13,4.73,7.46,NA,NA,NA
R9-30,Saguaro Lake near inlet,salt,saguaro-30m,2000,30,12.9,4.52,7.34,NA,NA,NA
R9-35,Saguaro Lake near inlet,salt,saguaro-35m,2000,35,12.9,3.8,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R9-40,Saguaro Lake near inlet,salt,saguaro-40m,2000,40,13,3.57,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R9-45,Saguaro Lake near inlet,salt,saguaro-45m,2000,45,12.9,3.52,6.67,NA,NA,NA
R9-5,Saguaro Lake near inlet,salt,saguaro-5m,2000,5,16.1,9.58,8.34,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R9A,Saguaro Lake near inlet,salt,saguaro-0m,2000,0,16.7,10.35,8.33,4.2,NA,NA
R20,Verde River at Tangle (USGS),verde,verde abv horseshoe,2000,0,NA,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R1,CAP canal above Waddell Canal,cap,cap-siphon,2000,0,21.8,NA,8.34,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R2-10,Lake Pleasant integrated sample,cap,pleasant-10m,2000,10,17.1,9.78,7.74,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R2-15,Lake Pleasant integrated sample,cap,pleasant-15m,2000,15,15.4,9.03,7.6,NA,NA,NA
R2-20,Lake Pleasant integrated sample,cap,pleasant-20m,2000,20,15,7.62,7.04,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R2-25,Lake Pleasant integrated sample,cap,pleasant-25m,2000,25,14.7,7.08,4.44,NA,NA,NA
R2-30,Lake Pleasant integrated sample,cap,pleasant-30m,2000,30,14.5,6.95,3.69,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R2-35,Lake Pleasant integrated sample,cap,pleasant-35m,2000,35,12.5,6.65,NA,NA,NA,NA
R2-40,Lake Pleasant integrated sample,cap,pleasant-40m,2000,40,12.5,6.56,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R2-45,Lake Pleasant integrated sample,cap,pleasant-45m,2000,45,12.4,6.43,NA,NA,NA,NA
R2-5,Lake Pleasant integrated sample,cap,pleasant-5m,2000,5,18.3,10.74,8.14,NA,NA,NA
R2A,Lake Pleasant integrated sample,cap,pleasant-0m,2000,0,19,11.11,8.32,4.75,NA,NA
R3,Waddell Canal,cap,waddell canal,2000,0,30.1,NA,8.26,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,2000,0,20.7,NA,8.24,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R6-10,Bartlett Reservoir near outlet,verde,bartlett-10m,2000,10,16.9,9.06,7.86,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R6-15,Bartlett Reservoir near outlet,verde,bartlett-15m,2000,15,14.9,6.37,7.5,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R6-20,Bartlett Reservoir near outlet,verde,bartlett-20m,2000,20,13.5,5.37,7.19,NA,NA,NA
R6-25,Bartlett Reservoir near outlet,verde,bartlett-25m,2000,25,13.3,0.75,6.5,NA,NA,NA
R6-30,Bartlett Reservoir near outlet,verde,bartlett-30m,2000,30,13.3,0.49,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R6-35,Bartlett Reservoir near outlet,verde,bartlett-35m,2000,35,13.3,0.41,NA,NA,NA,NA
R6-40,Bartlett Reservoir near outlet,verde,bartlett-40m,2000,40,13.3,0.41,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R6-45,Bartlett Reservoir near outlet,verde,bartlett-45m,2000,45,13.3,0.39,NA,NA,NA,NA
R6-5,Bartlett Reservoir near outlet,verde,bartlett-5m,2000,5,19.6,9.6,8.2,NA,NA,NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-0m,2000,0,19.9,9.92,8.45,2.75,NA,NA
R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,2000,0,14.9,NA,8.33,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,2000,0,16,8.22,7.72,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,2000,0,21.1,7.6,8.37,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,2000,0,17.9,8.13,7.97,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,2000,0,19.4,8.43,8.19,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,2000,0,18.7,9.27,7.91,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R9-10,Saguaro Lake near inlet,salt,saguaro-10m,2000,10,15.4,6.82,7.86,NA,NA,NA
R9-15,Saguaro Lake near inlet,salt,saguaro-15m,2000,15,13.7,4.75,7.5,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R9-20,Saguaro Lake near inlet,salt,saguaro-20m,2000,20,13.4,4.29,7.29,NA,NA,NA
